Name,District_x,Population,Latitude,Longitude,Status,District_y,PopulationCensus1980-01-01,PopulationCensus1990-01-01,PopulationCensus2001-02-01,PopulationCensus2011-10-01,PopulationEstimate2019-01-01
Szászberek,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 19' 0'',E 20° 6' 0'',Village,Szolnok,"1,006",961,961,999,993
Szelevény,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 1,137",N 46° 48' 9'',E 20° 12' 10'',Village,Kunszentmárton,"1,449","1,310","1,202","1,155","1,022"
Szolnok,"Hungary, Jász-Nagykun-Szolnok","seat of a first-order administrative divisionpopulation 71,285",N 47° 11' 0'',E 20° 12' 0'',Town with County Rights,Szolnok,"75,362","78,328","77,631","72,953","71,285"
Tiszabő,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 2,000",N 47° 18' 0'',E 20° 29' 0'',Village,Kunhegyes,"2,081","1,938","2,032","1,983","2,109"
Tiszabura,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 2,730",N 47° 27' 0'',E 20° 28' 0'',Village,Kunhegyes,"2,600","2,464","2,749","2,895","2,934"
Tiszaderzs,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 31' 0'',E 20° 39' 0'',Village,Tiszafüred,"1,648","1,356","1,357","1,076","1,037"
Tiszaföldvár,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 11,873",N 46° 59' 0'',E 20° 15' 0'',Town,Kunszentmárton,"12,221","11,840","11,975","11,129","10,417"
Tiszafüred,"Hungary, Jász-Nagykun-Szolnok","seat of a second-order administrative divisionpopulation 10,872",N 47° 37' 0'',E 20° 46' 0'',Town,Tiszafüred,"12,418","12,652","12,019","11,382","10,631"
Tiszagyenda,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 23' 0'',E 20° 31' 0'',Village,Kunhegyes,"1,295","1,154","1,077",998,943
Tiszaigar,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 32' 0'',E 20° 48' 0'',Village,Tiszafüred,"1,039",972,921,833,789
Tiszainoka,"Hungary, Jász-Nagykun-Szolnok",populated place,N 46° 54' 14'',E 20° 9' 13'',Village,Kunszentmárton,556,487,442,412,378
Tiszajenő,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 2' 0'',E 20° 9' 0'',Village,Szolnok,"1,705","1,630","1,696","1,618","1,522"
Tiszakürt,"Hungary, Jász-Nagykun-Szolnok",populated place,N 46° 53' 6'',E 20° 7' 31'',Village,Kunszentmárton,"1,930","1,687","1,604","1,470","1,386"
Tiszaörs,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 31' 0'',E 20° 50' 0'',Village,Tiszafüred,"1,718","1,589","1,507","1,345","1,361"
Tiszapüspöki,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 2,096",N 47° 13' 0'',E 20° 19' 0'',Village,Törökszentmiklós,"2,118","2,000","2,106","2,143","1,982"
Tiszaroff,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 1,874",N 47° 24' 0'',E 20° 27' 0'',Village,Kunhegyes,"2,412","2,157","1,933","1,569","1,522"
Tiszasas,"Hungary, Jász-Nagykun-Szolnok",populated place,N 46° 49' 20'',E 20° 4' 45'',Village,Kunszentmárton,"1,421","1,313","1,227","1,047","1,015"
Tiszasüly,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 1,737",N 47° 23' 0'',E 20° 24' 0'',Village,Szolnok,"2,291","1,954","1,777","1,432","1,451"
Tiszaszentimre,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 2,340",N 47° 29' 0'',E 20° 44' 0'',Village,Tiszafüred,"2,738","2,472","2,356","2,169","1,954"
Tiszaszőlős,"Hungary, Jász-Nagykun-Szolnok","seat of a second-order administrative divisionpopulation 10,872",N 47° 37' 0'',E 20° 46' 0'',Village,Tiszafüred,"1,923","1,691","1,730","1,540","1,586"
Tiszatenyő,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 8' 0'',E 20° 23' 0'',Village,Törökszentmiklós,"1,946","1,895","1,837","1,658","1,488"
Tiszavárkony,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 4' 0'',E 20° 11' 0'',Village,Szolnok,"1,758","1,728","1,729","1,529","1,514"
Tomajmonostora,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 26' 0'',E 20° 43' 0'',Village,Kunhegyes,933,843,759,716,679
Törökszentmiklós,"Hungary, Jász-Nagykun-Szolnok","seat of a second-order administrative divisionpopulation 22,770",N 47° 11' 0'',E 20° 25' 0'',Town,Törökszentmiklós,"25,605","23,920","22,883","21,071","19,827"
Tószeg,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 4,621",N 47° 6' 0'',E 20° 9' 0'',Village,Szolnok,"4,405","4,503","4,684","4,437","4,335"
Túrkeve,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 10,016",N 47° 6' 0'',E 20° 45' 0'',Town,Mezőtúr,"11,398","10,597","10,047","8,878","8,230"
Újszász,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 6,855",N 47° 18' 0'',E 20° 5' 0'',Town,Szolnok,"6,992","6,789","6,824","6,321","5,913"
Vezseny,"Hungary, Jász-Nagykun-Szolnok",populated place,N 47° 2' 0'',E 20° 13' 0'',Village,Szolnok,893,764,634,651,593
Zagyvarékas,"Hungary, Jász-Nagykun-Szolnok","populated placepopulation 3,700",N 47° 16' 0'',E 20° 8' 0'',Village,Szolnok,"3,479","3,582","3,719","3,488","3,434"
Ács,"Hungary, Komárom-Esztergom","populated placepopulation 7,180",N 47° 42' 44'',E 18° 0' 40'',Town,Komárom,"7,748","7,126","7,196","6,875","6,848"
Ácsteszér,"Hungary, Komárom-Esztergom",populated place,N 47° 24' 19'',E 18° 0' 22'',Village,Kisbér,803,767,732,682,710
Aka,"Hungary, Komárom-Esztergom",populated place,N 47° 24' 8'',E 18° 4' 16'',Village,Kisbér,335,312,271,239,262
Almásfüzitő,"Hungary, Komárom-Esztergom","populated placepopulation 2,348",N 47° 43' 39'',E 18° 15' 41'',Village,Komárom,"3,002","2,622","2,417","2,144","2,145"
Annavölgy,"Hungary, Somogy",populated place,N 47° 42' 0'',E 18° 40' 0'',Village,Esztergom,"1,178",938,995,941,919
Ászár,"Hungary, Komárom-Esztergom",populated place,N 47° 30' 42'',E 18° 0' 5'',Village,Kisbér,"1,664","1,638","1,609","1,716","1,694"
Bábolna,"Hungary, Komárom-Esztergom","populated placepopulation 3,885",N 47° 38' 37'',E 17° 58' 40'',Town,Komárom,"3,263","3,481","3,933","3,808","3,860"
Baj,"Hungary, Komárom-Esztergom","populated placepopulation 2,664",N 47° 38' 45'',E 18° 21' 50'',Village,Tata,"1,795","2,064","2,761","2,784","2,831"
Bajna,"Hungary, Komárom-Esztergom","populated placepopulation 2,024",N 47° 39' 14'',E 18° 35' 49'',Village,Esztergom,"2,150","2,047","2,036","1,928","1,872"
Bajót,"Hungary, Komárom-Esztergom",populated place,N 47° 43' 40'',E 18° 33' 21'',Village,Esztergom,"1,618","1,481","1,518","1,538","1,667"
Bakonybánk,"Hungary, Komárom-Esztergom",populated place,N 47° 28' 1'',E 17° 54' 14'',Village,Kisbér,643,552,526,433,392
Bakonysárkány,"Hungary, Komárom-Esztergom",populated place,N 47° 26' 52'',E 18° 6' 8'',Village,Kisbér,"1,143",986,960,980,982
Bakonyszombathely,"Hungary, Komárom-Esztergom",populated place,N 47° 28' 18'',E 17° 57' 54'',Village,Kisbér,"1,667","1,559","1,541","1,420","1,364"
Bana,"Hungary, Komárom-Esztergom",populated place,N 47° 39' 6'',E 17° 55' 18'',Village,Komárom,"1,669","1,684","1,733","1,649","1,596"
Bársonyos,"Hungary, Komárom-Esztergom",populated place,N 47° 30' 36'',E 17° 55' 6'',Village,Kisbér,892,824,855,772,762
Bokod,"Hungary, Komárom-Esztergom","populated placepopulation 2,229",N 47° 29' 30'',E 18° 14' 50'',Village,Oroszlány,"2,239","2,311","2,248","2,068","2,062"
Császár,"Hungary, Komárom-Esztergom","populated placepopulation 1,922",N 47° 29' 52'',E 18° 8' 33'',Village,Kisbér,"2,154","1,974","1,904","1,836","1,866"
Csatka,"Hungary, Komárom-Esztergom",populated place,N 47° 22' 42'',E 17° 58' 41'',Village,Kisbér,497,369,317,240,208
Csém,"Hungary, Komárom-Esztergom",populated placepopulation 484,N 47° 40' 52'',E 18° 5' 13'',Village,Komárom,532,497,465,421,384
Csép,"Hungary, Komárom-Esztergom",populated place,N 47° 34' 41'',E 18° 3' 48'',Village,Kisbér,504,411,364,347,324
Csolnok,"Hungary, Komárom-Esztergom","populated placepopulation 3,381",N 47° 41' 28'',E 18° 42' 58'',Village,Esztergom,"3,668","3,358","3,406","3,230","3,044"
Dad,"Hungary, Komárom-Esztergom",populated place,N 47° 31' 8'',E 18° 13' 34'',Village,Oroszlány,"1,019","1,032","1,083","1,033",976
Dág,"Hungary, Komárom-Esztergom",populated place,N 47° 39' 45'',E 18° 43' 13'',Village,Esztergom,"1,130","1,019",991,932,909
Dömös,"Hungary, Komárom-Esztergom",populated place,N 47° 45' 41'',E 18° 54' 47'',Village,Esztergom,"1,126","1,117","1,101","1,167","1,142"
Dorog,"Hungary, Komárom-Esztergom","populated placepopulation 12,658",N 47° 43' 15'',E 18° 44' 11'',Town,Esztergom,"11,844","12,798","12,609","12,199","11,530"
Dunaalmás,"Hungary, Komárom-Esztergom","populated placepopulation 1,479",N 47° 43' 43'',E 18° 19' 20'',Village,Tata,"1,474","1,527","1,516","1,550","1,648"
Dunaszentmiklós,"Hungary, Komárom-Esztergom",populated placepopulation 397,N 47° 42' 14'',E 18° 22' 54'',Village,Tata,498,435,411,413,445
Epöl,"Hungary, Komárom-Esztergom",populated place,N 47° 38' 46'',E 18° 38' 10'',Village,Esztergom,670,641,638,643,622
Esztergom,"Hungary, Komárom-Esztergom","seat of a first-order administrative divisionpopulation 65,849",N 47° 35' 5'',E 18° 23' 35'',Town,Esztergom,"30,870","29,841","29,452","28,926","28,144"
Ete,"Hungary, Komárom-Esztergom",populated placepopulation 593,N 47° 31' 50'',E 18° 4' 30'',Village,Kisbér,781,686,600,577,600
Gyermely,"Hungary, Komárom-Esztergom",populated place,N 47° 35' 33'',E 18° 38' 40'',Village,Tatabánya,"1,094","1,072","1,290","1,440","1,473"
Héreg,"Hungary, Komárom-Esztergom",populated place,N 47° 38' 57'',E 18° 30' 34'',Village,Tatabánya,"1,106","1,042","1,042","1,007","1,030"
Kecskéd,"Hungary, Komárom-Esztergom","populated placepopulation 1,908",N 47° 31' 22'',E 18° 18' 33'',Village,Oroszlány,"1,673","1,723","1,919","1,988","2,004"
Kerékteleki,"Hungary, Komárom-Esztergom",populated place,N 47° 30' 46'',E 17° 56' 12'',Village,Kisbér,883,733,724,700,690
Kesztölc,"Hungary, Komárom-Esztergom","populated placepopulation 2,559",N 47° 42' 45'',E 18° 48' 6'',Village,Esztergom,"2,384","2,322","2,556","2,626","2,542"
Kisbér,"Hungary, Komárom-Esztergom","seat of a second-order administrative divisionpopulation 5,850",N 47° 30' 10'',E 18° 2' 11'',Town,Kisbér,"5,724","5,938","5,874","5,564","5,359"
Kisigmánd,"Hungary, Komárom-Esztergom",populated place,N 47° 39' 14'',E 18° 5' 56'',Village,Komárom,570,534,526,518,482
Kocs,"Hungary, Komárom-Esztergom","populated placepopulation 2,655",N 47° 36' 27'',E 18° 12' 54'',Village,Tata,"2,842","2,734","2,651","2,556","2,517"
Komárom,"Hungary, Komárom-Esztergom","seat of a first-order administrative divisionpopulation 65,849",N 47° 35' 5'',E 18° 23' 35'',Town,Komárom,"19,918","19,532","19,616","19,284","19,126"
Kömlőd,"Hungary, Komárom-Esztergom",populated place,N 47° 32' 47'',E 18° 15' 36'',Village,Oroszlány,"1,157","1,079","1,151","1,155","1,072"
Környe,"Hungary, Komárom-Esztergom","populated placepopulation 4,359",N 47° 32' 48'',E 18° 19' 14'',Village,Tatabánya,"4,063","4,115","4,336","4,468","4,566"
Lábatlan,"Hungary, Komárom-Esztergom","populated placepopulation 5,357",N 47° 44' 50'',E 18° 29' 46'',Town,Esztergom,"6,013","5,690","5,397","5,033","4,849"
Leányvár,"Hungary, Tolna",area,N 46° 44' 30'',E 18° 52' 30'',Village,Esztergom,"1,585","1,544","1,671","1,704","1,806"
Máriahalom,"Hungary, Komárom-Esztergom",populated place,N 47° 37' 39'',E 18° 42' 31'',Village,Esztergom,617,559,703,677,573
Mocsa,"Hungary, Komárom-Esztergom","populated placepopulation 2,265",N 47° 40' 11'',E 18° 11' 6'',Village,Komárom,"2,594","2,367","2,274","2,192","2,062"
Mogyorósbánya,"Hungary, Komárom-Esztergom",populated place,N 47° 43' 42'',E 18° 35' 50'',Village,Esztergom,850,819,882,862,830
Nagyigmánd,"Hungary, Komárom-Esztergom","populated placepopulation 3,132",N 47° 38' 27'',E 18° 4' 52'',Large Village,Komárom,"3,365","3,207","3,186","2,972","2,834"
Nagysáp,"Hungary, Komárom-Esztergom",populated place,N 47° 41' 6'',E 18° 35' 54'',Village,Esztergom,"1,588","1,518","1,510","1,487","1,424"
Naszály,"Hungary, Komárom-Esztergom","populated placepopulation 2,239",N 47° 42' 11'',E 18° 15' 27'',Village,Tata,"2,288","2,271","2,239","2,382","2,329"
Neszmély,"Hungary, Komárom-Esztergom","populated placepopulation 1,480",N 47° 44' 9'',E 18° 21' 34'',Village,Tata,"1,545","1,499","1,444","1,344","1,299"
Nyergesújfalu,"Hungary, Komárom-Esztergom","populated placepopulation 7,667",N 47° 45' 37'',E 18° 33' 25'',Town,Esztergom,"8,095","7,815","7,752","7,621","7,292"
Oroszlány,"Hungary, Komárom-Esztergom","seat of a second-order administrative divisionpopulation 20,271",N 47° 29' 12'',E 18° 18' 44'',Town,Oroszlány,"20,613","20,982","20,280","18,446","18,402"
Piliscsév,"Hungary, Komárom-Esztergom","populated placepopulation 2,310",N 47° 40' 45'',E 18° 49' 7'',Village,Esztergom,"2,452","2,314","2,314","2,356","2,399"
Pilismarót,"Hungary, Komárom-Esztergom","populated placepopulation 1,952",N 47° 47' 4'',E 18° 52' 31'',Village,Esztergom,"1,761","1,784","1,950","1,977","2,061"
Réde,"Hungary, Komárom-Esztergom",populated place,N 47° 25' 47'',E 17° 54' 49'',Village,Kisbér,"1,603","1,573","1,570","1,410","1,318"
Sárisáp,"Hungary, Komárom-Esztergom","populated placepopulation 2,911",N 47° 40' 37'',E 18° 40' 45'',Village,Esztergom,"2,950","2,777","2,918","2,770","2,668"
Súr,"Hungary, Komárom-Esztergom",populated place,N 47° 22' 8'',E 18° 1' 49'',Village,Kisbér,"1,544","1,316","1,360","1,263","1,204"
Süttő,"Hungary, Komárom-Esztergom","populated placepopulation 1,998",N 47° 45' 31'',E 18° 26' 55'',Village,Esztergom,"2,023","2,036","2,034","2,071","2,053"
Szákszend,"Hungary, Komárom-Esztergom",populated place,N 47° 33' 27'',E 18° 9' 53'',Village,Oroszlány,"1,785","1,643","1,539","1,473","1,432"
Szárliget,"Hungary, Fejér","populated placepopulation 2,337",N 47° 30' 56'',E 18° 29' 41'',Village,Tatabánya,"1,423","1,776","2,143","2,312","2,475"
Szomód,"Hungary, Komárom-Esztergom","populated placepopulation 2,020",N 47° 41' 5'',E 18° 20' 26'',Village,Tata,"1,770","1,850","2,003","2,083","2,121"
Szomor,"Hungary, Komárom-Esztergom",populated place,N 47° 35' 31'',E 18° 39' 49'',Village,Tatabánya,821,886,"1,089","1,100","1,059"
Tardos,"Hungary, Komárom-Esztergom","populated placepopulation 1,625",N 47° 39' 42'',E 18° 26' 38'',Village,Tata,"1,549","1,611","1,629","1,605","1,682"
Tarján,"Hungary, Komárom-Esztergom","populated placepopulation 2,825",N 47° 36' 37'',E 18° 30' 38'',Village,Tatabánya,"2,722","2,657","2,812","2,600","2,682"
Tárkány,"Hungary, Komárom-Esztergom",populated place,N 47° 35' 34'',E 18° 0' 2'',Village,Kisbér,"1,942","1,697","1,593","1,532","1,348"
Tát,"Hungary, Komárom-Esztergom","populated placepopulation 5,575",N 47° 44' 29'',E 18° 38' 53'',Town,Esztergom,"5,343","5,286","5,508","5,302","5,273"
Tata,"Hungary, Komárom-Esztergom","seat of a second-order administrative divisionpopulation 23,217",N 47° 39' 10'',E 18° 19' 6'',Town,Tata,"24,615","25,049","24,598","23,575","23,441"
Tatabánya,"Hungary, Komárom-Esztergom","seat of a first-order administrative divisionpopulation 65,849",N 47° 35' 5'',E 18° 23' 35'',Town with County Rights,Tatabánya,"75,971","74,277","72,470","67,753","65,845"
Tokod,"Hungary, Komárom-Esztergom","populated placepopulation 4,271",N 47° 43' 22'',E 18° 39' 32'',Large Village,Esztergom,"4,750","4,456","4,344","4,143","3,947"
Tokodaltáró,"Hungary, Komárom-Esztergom",populated place,N 47° 44' 2'',E 18° 41' 22'',Village,Esztergom,"3,089","2,830","3,071","2,963","2,830"
Úny,"Hungary, Komárom-Esztergom",populated place,N 47° 38' 32'',E 18° 44' 45'',Village,Esztergom,663,647,646,688,654
Várgesztes,"Hungary, Komárom-Esztergom",populated place,N 47° 28' 29'',E 18° 23' 48'',Village,Tatabánya,465,489,487,549,759
Vérteskethely,"Hungary, Komárom-Esztergom",populated place,N 47° 29' 19'',E 18° 5' 2'',Village,Kisbér,675,602,612,573,541
Vértessomló,"Hungary, Komárom-Esztergom",populated place,N 47° 30' 37'',E 18° 22' 0'',Village,Tatabánya,"1,207","1,265","1,298","1,338","1,332"
Vértesszőlős,"Hungary, Komárom-Esztergom","populated placepopulation 2,747",N 47° 37' 15'',E 18° 22' 52'',Village,Tatabánya,"2,024","2,422","2,859","3,124","3,195"
Vértestolna,"Hungary, Komárom-Esztergom",populated place,N 47° 37' 38'',E 18° 27' 16'',Village,Tata,603,549,532,491,519
Alsópetény,"Hungary, Nógrád",populated place,N 47° 52' 32'',E 19° 14' 38'',Village,Rétság,835,732,770,666,557
Alsótold,"Hungary, Nógrád",populated place,N 47° 57' 6'',E 19° 35' 50'',Village,Pásztó,229,277,270,230,231
Balassagyarmat,"Hungary, Nógrád","seat of a second-order administrative divisionpopulation 15,058",N 48° 4' 22'',E 19° 17' 46'',Town,Balassagyarmat,"17,259","17,712","17,794","16,397","14,705"
Bánk,"Hungary, Nógrád",populated place,N 47° 55' 30'',E 19° 10' 24'',Village,Rétság,730,705,678,643,691
Bárna,"Hungary, Nógrád",populated place,N 48° 6' 1'',E 19° 56' 7'',Village,Salgótarján,"1,254","1,213","1,151","1,090",973
Bátonyterenye,"Hungary, Nógrád","seat of a second-order administrative divisionpopulation 14,214",N 47° 58' 10'',E 19° 50' 26'',Town,Bátonyterenye,"14,395","14,603","14,354","12,841","11,616"
Becske,"Hungary, Nógrád",populated place,N 47° 54' 33'',E 19° 22' 34'',Village,Balassagyarmat,869,721,623,561,521
Bér,"Hungary, Nógrád",populated place,N 47° 51' 56'',E 19° 30' 7'',Village,Pásztó,601,515,436,369,344
Bercel,"Hungary, NógrádBalassagyarmati Járás","populated placepopulation 1,991",N 47° 52' 14'',E 19° 24' 25'',Village,Balassagyarmat,"2,218","2,114","2,057","2,072","1,861"
Berkenye,"Hungary, Nógrád",populated place,N 47° 53' 19'',E 19° 4' 24'',Village,Rétság,603,572,583,658,676
Bokor,"Hungary, Nógrád",populated place,N 47° 55' 58'',E 19° 32' 25'',Village,Pásztó,199,156,132,103,97
Borsosberény,"Hungary, Nógrád",populated place,N 47° 58' 27'',E 19° 7' 0'',Village,Rétság,"1,055",965,"1,043","1,007",931
Buják,"Hungary, Nógrád","populated placepopulation 2,343",N 47° 53' 0'',E 19° 32' 37'',Village,Pásztó,"2,545","2,428","2,374","2,202","2,132"
Cered,"Hungary, Nógrád",populated place,N 48° 8' 48'',E 19° 57' 58'',Village,Salgótarján,"1,561","1,393","1,248","1,127","1,053"
Csécse,"Hungary, Nógrád",populated place,N 47° 52' 0'',E 19° 38' 0'',Village,Pásztó,"1,141","1,063","1,005",922,882
Cserháthaláp,"Hungary, Nógrád",populated place,N 47° 58' 56'',E 19° 22' 31'',Village,Balassagyarmat,518,441,416,357,342
Cserhátsurány,"Hungary, Nógrád",populated place,N 47° 58' 44'',E 19° 25' 39'',Village,Balassagyarmat,"1,102",996,986,830,779
Cserhátszentiván,"Hungary, Nógrád",populated place,N 47° 56' 21'',E 19° 34' 58'',Village,Pásztó,274,210,168,140,95
Csesztve,"Hungary, Nógrád",populated place,N 48° 0' 53'',E 19° 16' 45'',Village,Balassagyarmat,565,415,332,328,327
Csitár,"Hungary, Nógrád",populated place,N 48° 3' 14'',E 19° 25' 50'',Village,Balassagyarmat,605,527,461,427,382
Debercsény,"Hungary, Nógrád",populated place,N 47° 57' 35'',E 19° 19' 3'',Village,Balassagyarmat,193,154,102,77,68
Dejtár,"Hungary, Nógrád",populated place,N 48° 2' 13'',E 19° 9' 52'',Village,Balassagyarmat,"1,622","1,535","1,499","1,404","1,376"
Diósjenő,"Hungary, Nógrád","populated placepopulation 2,746",N 47° 56' 22'',E 19° 2' 35'',Village,Rétság,"2,921","2,769","2,782","2,808","2,869"
Dorogháza,"Hungary, Nógrád",populated place,N 47° 59' 14'',E 19° 54' 5'',Village,Bátonyterenye,"1,614","1,344","1,293","1,129","1,060"
Drégelypalánk,"Hungary, Nógrád",populated place,N 48° 2' 49'',E 19° 3' 6'',Village,Balassagyarmat,"1,812","1,648","1,658","1,516","1,452"
Ecseg,"Hungary, Nógrád",populated place,N 47° 53' 53'',E 19° 36' 21'',Village,Pásztó,"1,506","1,369","1,282","1,169","1,165"
Egyházasdengeleg,"Hungary, Nógrád",populated place,N 47° 48' 1'',E 19° 33' 1'',Village,Pásztó,647,583,526,482,407
Egyházasgerge,"Hungary, Nógrád",populated place,N 48° 10' 46'',E 19° 38' 44'',Village,Salgótarján,942,893,836,765,704
Endrefalva,"Hungary, Nógrád",populated place,N 48° 7' 37'',E 19° 34' 37'',Village,Szécsény,"1,331","1,230","1,234","1,237","1,157"
Erdőkürt,"Hungary, Nógrád",populated place,N 47° 46' 24'',E 19° 27' 39'',Village,Pásztó,754,630,611,494,494
Erdőtarcsa,"Hungary, Nógrád",populated place,N 47° 45' 49'',E 19° 32' 22'',Village,Pásztó,731,621,611,513,460
Érsekvadkert,"Hungary, Nógrád","populated placepopulation 3,762",N 47° 59' 46'',E 19° 12' 8'',Village,Balassagyarmat,"3,813","3,690","3,789","3,557","3,476"
Etes,"Hungary, Nógrád",populated place,N 48° 6' 39'',E 19° 43' 9'',Village,Salgótarján,"1,840","1,562","1,435","1,427","1,355"
Felsőpetény,"Hungary, Nógrád",populated place,N 47° 53' 28'',E 19° 11' 48'',Village,Rétság,905,788,766,638,583
Felsőtold,"Hungary, Nógrád",populated place,N 47° 58' 17'',E 19° 36' 37'',Village,Pásztó,297,248,185,132,115
Galgaguta,"Hungary, Nógrád",populated place,N 47° 51' 3'',E 19° 23' 15'',Village,Balassagyarmat,904,771,738,622,586
Garáb,"Hungary, Nógrád",populated place,N 47° 58' 40'',E 19° 38' 26'',Village,Pásztó,149,106,79,52,47
Héhalom,"Hungary, Nógrád","populated placepopulation 1,006",N 47° 46' 48'',E 19° 35' 6'',Village,Pásztó,"1,291","1,092","1,048",992,989
Herencsény,"Hungary, Nógrád",populated place,N 47° 58' 41'',E 19° 28' 33'',Village,Balassagyarmat,957,784,713,607,553
Hollókő,"Hungary, Nógrád",populated place,N 47° 59' 52'',E 19° 35' 38'',Village,Szécsény,582,471,375,323,347
Hont,"Hungary, Nógrád",populated place,N 48° 3' 4'',E 18° 59' 30'',Village,Balassagyarmat,793,636,595,465,462
Horpács,"Hungary, Nógrád",populated place,N 47° 59' 49'',E 19° 7' 44'',Village,Rétság,308,264,191,157,158
Hugyag,"Hungary, Nógrád",populated place,N 48° 5' 20'',E 19° 25' 51'',Village,Balassagyarmat,"1,111",971,904,904,852
Iliny,"Hungary, Nógrád",populated place,N 48° 1' 59'',E 19° 25' 39'',Village,Balassagyarmat,272,218,199,156,139
Ipolyszög,"Hungary, Nógrád","seat of a second-order administrative divisionpopulation 15,058",N 48° 4' 22'',E 19° 17' 46'',Village,Balassagyarmat,622,468,680,646,556
Ipolytarnóc,"Hungary, Nógrád",populated place,N 48° 14' 17'',E 19° 37' 28'',Village,Salgótarján,670,559,531,445,421
Ipolyvece,"Hungary, Nógrád",populated place,N 48° 3' 39'',E 19° 6' 26'',Village,Balassagyarmat,939,831,853,777,778
Jobbágyi,"Hungary, Nógrád","populated placepopulation 2,329",N 47° 49' 56'',E 19° 40' 39'',Village,Pásztó,"2,373","2,197","2,306","2,175","1,987"
Kálló,"Hungary, NógrádPásztói Járás",populated place,N 47° 44' 54'',E 19° 29' 10'',Village,Pásztó,"1,544","1,331","1,477","1,540","1,551"
Karancsalja,"Hungary, Nógrád",populated place,N 48° 8' 14'',E 19° 45' 6'',Village,Salgótarján,"1,591","1,601","1,602","1,554","1,485"
Karancsberény,"Hungary, Nógrád",populated place,N 48° 11' 2'',E 19° 44' 53'',Village,Salgótarján,"1,111","1,041",991,905,786
Karancskeszi,"Hungary, Nógrád","populated placepopulation 1,924",N 48° 9' 48'',E 19° 41' 48'',Village,Salgótarján,"2,172","2,110","1,938","1,883","1,757"
Karancslapujtő,"Hungary, Nógrád","populated placepopulation 2,845",N 48° 9' 0'',E 19° 44' 0'',Village,Salgótarján,"2,744","2,825","2,878","2,594","2,423"
Karancsság,"Hungary, Nógrád",populated place,N 48° 7' 2'',E 19° 39' 33'',Village,Salgótarján,"1,170","1,176","1,168","1,202","1,247"
Kazár,"Hungary, Nógrád","populated placepopulation 2,080",N 48° 2' 58'',E 19° 51' 41'',Village,Salgótarján,"2,414","2,203","2,067","1,864","1,732"
Keszeg,"Hungary, Nógrád",populated place,N 47° 50' 18'',E 19° 14' 45'',Village,Rétság,805,645,720,663,669
Kétbodony,"Hungary, Nógrád",populated placepopulation 477,N 47° 56' 14'',E 19° 17' 7'',Village,Rétság,619,559,529,440,432
Kisbágyon,"Hungary, Nógrád",populated place,N 47° 49' 27'',E 19° 35' 0'',Village,Pásztó,613,504,485,428,411
Kisbárkány,"Hungary, Nógrád",populated place,N 48° 1' 0'',E 19° 41' 0'',Village,Salgótarján,285,262,255,213,125
Kisecset,"Hungary, Nógrád",populated place,N 47° 56' 5'',E 19° 18' 59'',Village,Rétság,341,271,214,155,159
Kishartyán,"Hungary, Nógrád",populated place,N 48° 5' 1'',E 19° 42' 21'',Village,Salgótarján,641,689,630,570,508
Kozárd,"Hungary, Nógrád",populated place,N 47° 54' 51'',E 19° 37' 9'',Village,Pásztó,315,269,189,155,168
Kutasó,"Hungary, Nógrád",populated place,N 47° 56' 54'',E 19° 32' 31'',Village,Pásztó,179,141,114,93,96
Legénd,"Hungary, Nógrád",populated place,N 47° 52' 47'',E 19° 18' 37'',Village,Rétság,762,640,585,472,429
Litke,"Hungary, Nógrád",populated place,N 48° 12' 41'',E 19° 35' 50'',Village,Salgótarján,"1,028",950,912,870,817
Lucfalva,"Hungary, Nógrád",populated place,N 48° 1' 47'',E 19° 41' 24'',Village,Salgótarján,722,664,615,633,586
Ludányhalászi,"Hungary, Nógrád",populated place,N 48° 8' 0'',E 19° 31' 19'',Village,Szécsény,"1,720","1,600","1,605","1,535","1,379"
Magyargéc,"Hungary, Nógrád",populated place,N 48° 4' 58'',E 19° 36' 9'',Village,Szécsény,899,838,855,897,832
Magyarnándor,"Hungary, Nógrád",populated place,N 47° 57' 54'',E 19° 20' 16'',Village,Balassagyarmat,"1,377","1,282","1,227","1,144","1,010"
Márkháza,"Hungary, Nógrád",populated place,N 48° 1' 2'',E 19° 43' 35'',Village,Salgótarján,297,284,257,244,241
